Id,Label,timeset,isseed,seedrank,publishedat,channeltitle,channelid,videocategorylabel,viewcount,likecount,dislikecount,dislikelikeratio,favoritecount,commentcount,indegree,outdegree,Degree,modularity_class
UJM4R01OuXw,Greta Thunberg at Guardian Live:  This is an emergency,,yes,127,1556007882,Guardian Supporters,UCVD6kK-I5NodC1s-JMeuYPw,News & Politics,33632,353,118,0.334278,0,189,16,27,43,4
pWkKyMBrS1k,Climate Activist Greta Thunberg Receives Amnesty International Award,,yes,161,1568676226,QuickTake by Bloomberg,UChirEOpgFCupRAk5etXqPaA,News & Politics,16511,571,116,0.203152,0,521,16,42,58,3
nOnLTGiA3H4,Greta Thunberg Responds To Meat Loaf Calling Her ‘Brainwashed’,,yes,35,1578351192,ET Canada,UCKY5PiEq8Tl9r7f3qittXng,Entertainment,60486,372,262,0.704301,0,844,15,39,54,0
WT8NemS6FmQ,Greta Thunberg sets sail on zero-carbon Atlantic voyage,,yes,157,1565801249,Guardian News,UCIRYBXDze5krPDzAEOxFGVA,News & Politics,103369,696,982,1.41092,0,1074,15,32,47,4
RSBZMYxYyFU,Greta Thunberg speaks ahead of climate march in Madrid as COP25 summit continues,,yes,77,1575649088,Global News,UChLtXXpo4Ge1ReTEboVvTDg,News & Politics,31007,326,415,1.273006,0,554,14,27,41,0
FqI6CAnpqEw,Greta Thunberg s UN speech - News Review,,yes,140,1569334347,BBC Learning English,UCHaHD477h-FeBbVh9Sh7syA,Education,107564,2703,198,0.073252,0,312,14,23,37,1
sSastnh6WVg,Greta Thunberg On Empowering The Youth As Climate Activists | Next Generation Leaders | TIME,,yes,144,1558038605,TIME,UC8Su5vZCXWRag13H53zWVwA,News & Politics,18292,366,118,0.322404,0,106,14,36,50,4
uwY0LB_bs68,Republicans Silent After Trump Mocks Climate Activist Greta Thunberg | The 11th Hour | MSNBC,,yes,150,1576306914,MSNBC,UCaXkIU1QidjPwiAYu6GcHjg,News & Politics,129711,1226,2055,1.676183,0,3820,14,21,35,0
k5qJg2WKMT4,Trump Mocks Greta Thunberg | The View,,yes,180,1576177206,The View,UCeH6qE4V7n5tVwP7NkdrtJg,Entertainment,205586,2409,457,0.189705,0,1966,14,13,27,0
mamMP6g2uzw,Greta Thunberg tells world leaders  You haven t seen the last of us,,yes,3,1579274304,Global News,UChLtXXpo4Ge1ReTEboVvTDg,News & Politics,27456,352,679,1.928977,0,733,13,41,54,0
ujh2ZRMY8lc,REPLAY - Greta Thunberg delivers emotional speech at UN | AFP,,yes,20,1569328645,AFP News Agency,UC86dbj-lbDks_hZ5gRKL49Q,News & Politics,29080,422,359,0.850711,0,326,13,41,54,1
iZ90go6vzJs,It s nice to meet you : Greta Thunberg and David Attenborough speak over Skype,,yes,102,1577702529,Guardian News,UCIRYBXDze5krPDzAEOxFGVA,News & Politics,119853,1385,735,0.530686,0,1236,13,1,14,0
UlRKuUm5P_A,Greta Thunberg Blasts ‘Clever Accounting And Creative PR’ At U.N. Climate Conference | NBC News,,yes,105,1576076133,NBC News,UCeY0bbntWzzVIaj2z3QigXg,News & Politics,15691,177,141,0.79661,0,374,13,4,17,0
KoC_1rOAFX0,Beyond Greta Thunberg: The uprising of youth climate activists,,yes,1,1579280250,Washington Post,UCHd62-u_v4DvJ8TCFtpi4GA,News & Politics,26246,470,1056,2.246809,0,1131,12,28,40,0
SnA2BTk67BQ,She s happy : Greta Thunberg s father says climate activism helped her beat depression,,yes,46,1577701409,Guardian News,UCIRYBXDze5krPDzAEOxFGVA,News & Politics,40581,350,466,1.331429,0,562,12,36,48,0
JT73puKg8cc,Climate activist Greta Thunberg on the power of a movement,,yes,59,1568416621,PBS NewsHour,UC6ZFN9Tx6xh-skXCuRHCDpQ,News & Politics,156972,3271,774,0.236625,0,,12,25,37,4
yKgi8Fh0K6g,TIME 2019 Person Of The Year: Greta Thunberg | TIME,,yes,98,1576072910,TIME,UC8Su5vZCXWRag13H53zWVwA,News & Politics,37635,846,1121,1.325059,0,1294,12,30,42,0
ULmk8mhiClI,Climate activist Greta Thunberg addresses the UN,,yes,120,1569251234,CityNews Toronto,UCVKAcQQCO8vv87Gk62SutAg,News & Politics,165677,1106,2730,2.468354,0,1479,12,36,48,1
7td-nD5WLJk,Pope Francis meets Greta Thunberg  a 16-year-old fighting against climate change,,yes,167,1555516580,ROME REPORTS in English,UCxshhzR907v2w6DjICyAgLQ,News & Politics,18684,217,89,0.410138,0,85,12,31,43,4
wpaw-l1Q3_E,Greta Thunberg s tearful address to the UN | A New Climate,,yes,63,1569271807,Sky News,UCoMdktPbSTixAyNGwb-UYkQ,News & Politics,135491,1198,2518,2.101836,0,1567,11,37,48,1
6otj9QWBnfs,WATCH: Greta Thunberg and other young climate activists go before House subcommittee,,yes,84,1568822124,PBS NewsHour,UC6ZFN9Tx6xh-skXCuRHCDpQ,News & Politics,16653,383,153,0.399478,0,,11,32,43,3
#NAME?,Greta Thunberg s planet-saving mission is  nonsensical climate zeitgeist,,yes,166,1567060652,Sky News Australia,UCO0akufu9MOzyz3nvGIXAAw,News & Politics,140377,5144,864,0.167963,0,3812,11,14,25,2
